Symbol
NIFTY 50 Pre Open
NIFTY 50
NIFTY NEXT 50
NIFTY100 LIQ 15
NIFTY BANK
INDIA VIX
NIFTY 100
NIFTY 500
NIFTY MIDCAP 100
NIFTY MIDCAP 50
NIFTY INFRA
NIFTY REALTY
NIFTY ENERGY
NIFTY FMCG
NIFTY MNC
NIFTY PHARMA
NIFTY PSE
NIFTY PSU BANK
NIFTY SERV SECTOR
NIFTY IT
NIFTY SMLCAP 100
NIFTY 200
NIFTY AUTO
NIFTY MEDIA
NIFTY METAL
NIFTY DIV OPPS 50
NIFTY COMMODITIES
NIFTY CONSUMPTION
NIFTY CPSE
NIFTY FIN SERVICE
NIFTY GROWSECT 15
NIFTY50 VALUE 20
NIFTY50 TR 2X LEV
NIFTY50 PR 2X LEV
NIFTY50 TR 1X INV
NIFTY50 PR 1X INV
NIFTY ALPHA 50
NIFTY50 EQL WGT
NIFTY100 EQL WGT
NIFTY100 LOWVOL30
NIFTY MID LIQ 15
NIFTY PVT BANK
NIFTY100 QUALTY30
NIFTY GS 8 13YR
NIFTY GS 10YR
NIFTY GS 10YR CLN
NIFTY GS 4 8YR
NIFTY GS 11 15YR
NIFTY GS 15YRPLUS
NIFTY GS COMPSITE
NIFTY MIDCAP 150
NIFTY SMLCAP 50
NIFTY SMLCAP 250
NIFTY MIDSML 400
NIFTY200 QUALTY30
